,bench_prior,wins,scores,fidelity,zone,benchmark,prior
402,B-5_at25,1.0,-0.021,17.0,12_18,B-5,at25
403,B-10_at25,1.0,-0.003,17.0,12_18,B-10,at25
404,B-3_at25,1.0,-0.019,17.0,12_18,B-3,at25
405,B-4_at25,1.0,-0.019,17.0,12_18,B-4,at25
406,B-7_at25,1.0,-0.01,17.0,12_18,B-7,at25
407,B-2_at25,0.0,0.0,17.0,12_18,B-2,at25
408,B-0_bad,0.0,0.0,18.0,18_24,B-0,bad
409,B-1_bad,0.0,0.0,18.0,18_24,B-1,bad
410,B-2_bad,0.0,0.0,18.0,18_24,B-2,bad
411,B-3_bad,1.0,-0.02,18.0,18_24,B-3,bad
412,B-4_bad,0.0,0.0,18.0,18_24,B-4,bad
413,B-5_bad,0.0,0.0,18.0,18_24,B-5,bad
414,B-6_bad,0.0,0.0,18.0,18_24,B-6,bad
415,B-7_bad,1.0,-0.009,18.0,18_24,B-7,bad
416,B-8_bad,0.0,0.0,18.0,18_24,B-8,bad
417,B-9_bad,0.0,0.0,18.0,18_24,B-9,bad
418,B-10_bad,0.0,0.0,18.0,18_24,B-10,bad
419,B-11_bad,0.0,0.0,18.0,18_24,B-11,bad
420,B-6_at25,1.0,-0.005,18.0,18_24,B-6,at25
421,B-8_at25,1.0,-0.046,18.0,18_24,B-8,at25
422,B-11_at25,1.0,-0.041,18.0,18_24,B-11,at25
423,B-1_at25,1.0,-0.004,18.0,18_24,B-1,at25
424,B-0_at25,0.0,0.0,18.0,18_24,B-0,at25
